31,So much there was\nto loose
38,So much\ngot lost
42,In the\nGreat\nFire
50,In the\nGreat Fire
62,So much that no one\nthought
70,No one thought\nto think\nat all
74,Until the\nfire
77,The fire\nbroke out
83,But when the\nflames\ndie\ndown
88,And everything is gone
91,Will there be\nfire?
94,Under\nthe ashes too?
99,But when the\nflames\ndie\ndown
104,Everything is gone
107,Will there be\nfire?
110,Under\nthe ashes\n
114,still?\n\n
164,So\nthis is really\nwhat you want
172,Not some\nwild experiment
176,That you're\njust tryin'
183,Oh\nthat you're\njust tryin'
196,Do you remember\nsayin' my name?
203,There was\nonly\none way
206,You\ncould say
208,Before the fire
211,The fire\nbroke out
217,But when the\nflames\ndie\ndown
221,Everything is gone
224,Will there be\nfire?
227,Under\nthe ashes\nstill?
232,But when the\nflames\ndie\ndown
237,Every\nthing is gone
240,Will there be\nfire?
243,Under\nthe ashes\n
248,still?\n\n
